UNITID,INSTNM,INSTURL,LATITUDE,LONGITUDE,ADM_RATE,Rank,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,SATVRMID,SATMTMID,SATWRMID,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75,ACTWR25,ACTWR75,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,COSTT4_A,UGDS_MEN,UGDS_WOMEN,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS,Arrest,zip,Arrest.scale
100858,Auburn University,www.auburn.edu,32.604685,-85.482782,0.8347,103,520,630,530,645,520,610,575,588,565,24,30,24,32,23,28,6,8,27,28,26,7,1215,0.0448,0.0178,0.0221,0,0.0573,0,0.006,0,0.0921,0.1637,0,0.0089,0.0366,0,0.0127,0,0,0.0934,0.0089,0,0.0219,0,0.0013,0,0.0123,0,0.0404,0,0.0178,0.0495,0,0,0,0,0.0361,0.0491,0.1949,0.0125,25282,0.5103,0.4897,0.8507,0.0704,0.0248,0.0227,0.0074,0,20514,58,36849,0.064516129
102094,University of South Alabama,www.southalabama.edu,30.695081,-88.18189,0.8335,258,450,570,450,585,430,540,510,518,485,20,25,20,27,18,25,6,8,23,24,22,7,1048,0,0,0,0,0.039,0,0.028,0,0.0874,0.0714,0,0.005,0,0,0.0105,0,0,0.0614,0.004,0,0.0435,0.02,0.0045,0,0.022,0,0.032,0.0285,0.015,0.0235,0,0,0,0,0.0445,0.3437,0.1009,0.0155,18525,0.4388,0.5612,0.6149,0.2374,0.0276,0.0345,0.0065,0.0013,11267,26,36688,0.028921023
104179,University of Arizona,www.arizona.edu,32.232071,-110.950769,0.7462,121,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0144,0.0116,0.0185,0.008,0.0422,0,0.0187,0,0.0443,0.0598,0.0061,0.0317,0.0262,0,0.0262,0,0,0.0992,0.0116,0,0.0651,0,0.0122,0,0.0251,0.0063,0.0791,0.0019,0.0195,0.0929,0,0,0,0,0.0499,0.0604,0.1505,0.0182,24617,0.4788,0.5212,0.5323,0.0355,0.2535,0.0555,0.0115,0.0027,32646,215,85721,0.239154616
105330,Northern Arizona University,nau.edu/,35.180095,-111.657653,0.8099,228,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.0338,0,0.002,0.0521,0,0.005,0,0.1284,0.0376,0,0.0051,0,0.0009,0.0272,0.107,0,0.0528,0.0057,0,0.0083,0.0345,0.0022,0,0.0183,0.0215,0.046,0,0.0125,0.0681,0,0,0,0,0.0316,0.1059,0.1875,0.0062,22561,0.4238,0.5762,0.6109,0.0336,0.2034,0.0165,0.0272,0.0025,23189,143,86011,0.159065628
106397,University of Arkansas,www.uark.edu,36.06153,-94.178214,0.6204,135,500,610,510,620,NULL,NULL,555,565,NULL,23,28,23,30,23,27,NULL,NULL,26,27,25,NULL,1155,0.0417,0.0074,0.0179,0.0008,0.0732,0,0.0113,0,0.0433,0.096,0,0.0123,0.0512,0,0.0189,0,0,0.0525,0.0067,0,0,0.0556,0.0018,0,0.0333,0,0.0343,0.0212,0.0131,0.0735,0,0,0,0,0.0338,0.0806,0.1979,0.0218,20350,0.4829,0.5171,0.7798,0.05,0.0692,0.0251,0.0117,0.0009,21405,198,72701,0.220244716
109785,Azusa Pacific University,www.apu.edu,34.130865,-117.88795,0.8183,173,490,540,490,540,480,530,515,515,505,21,24,21,24,21,24,8,8,23,23,23,8,1037,0,0,0,0.008,0.0544,0,0.0114,0,0.0418,0,0,0.0052,0,0,0.0343,0.0767,0,0.0177,0.0114,0,0,0,0.0057,0.0384,0.0069,0,0.0813,0,0.0206,0.0389,0,0,0,0,0.091,0.2295,0.2124,0.0143,45472,0.3535,0.6465,0.4714,0.0448,0.2614,0.0912,0.0019,0.0095,5918,4,91702,0.004449388
110097,Biola University,www.biola.edu,33.904823,-118.017342,0.754,161,490,620,490,620,490,610,555,555,550,22,28,21,29,21,27,NULL,NULL,25,25,24,NULL,1122,0,0.0021,0,0,0.1202,0,0.0064,0,0.0547,0.0021,0,0.0011,0,0,0.044,0.0097,0,0.0579,0.0075,0,0.0483,0.029,0.015,0.1084,0.0021,0,0.088,0,0,0.074,0,0,0,0,0.1202,0.0794,0.1159,0.0139,46162,0.3728,0.6272,0.5165,0.0209,0.1829,0.1613,0.0014,0.003,4364,1,90639,0.001112347
110316,California Institute of Integral Studies,www.ciis.edu,37.774768,-122.416537,NULL,271,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0.3462,0.6538,0.4423,0.1442,0.2212,0.0385,0.0096,0,104,0,94103,0
110404,California Institute of Technology,www.caltech.edu,34.139275,-118.12574,0.0883,10,730,800,770,800,730,790,765,785,760,34,35,34,35,35,36,NULL,NULL,35,35,36,NULL,1545,0,0,0,0,0,0,0.1777,0,0,0.3604,0,0,0,0,0,0,0,0.1269,0.1066,0,0,0,0,0,0.2234,0,0,0,0,0,0,0,0,0,0,0,0.0051,0,58755,0.6358,0.3642,0.2787,0.0153,0.1221,0.4385,0.001,0,983,0,91125,0
117140,University of La Verne,www.laverne.edu/,34.10086,-117.772634,0.4656,166,460,550,470,550,450,540,505,510,495,20,23,18,24,18,25,NULL,NULL,22,21,22,NULL,1014,0,0.0008,0,0,0.0511,0,0.0146,0,0.0308,0,0.0081,0.0008,0.0665,0.013,0.0178,0.0876,0,0.0195,0.0024,0,0,0,0.0008,0,0.0065,0,0.0779,0,0.0251,0.0989,0,0,0,0,0.0251,0.0195,0.4242,0.0089,47935,0.4267,0.5733,0.2389,0.065,0.4812,0.0526,0.0037,0.0047,5137,0,91750,0
